what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1336651320796
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1336651327408
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1336651359998
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1336651370672
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1336651398899
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1336651427299
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.format",1336651439002
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1336651479621
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1336651481949
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1336651485185
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336651486642
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336651486657
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336651486666
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336651496762
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336651502062
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336651502860
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336651503160
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336651503175
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336651503184
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336651508051
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1336651519523
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1336651529031
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1336651532006
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336651535254
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336651536083
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336651536380
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336651536394
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336651536426
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336651546082
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1336651577331
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1336651581822
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1336651585091
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1336651636662
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336651967642
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336651968686
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336651969123
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336651969137
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336651969146
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336651996799
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1336652016608
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336652053813
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336652054738
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336652055053
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336652055067
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336652055077
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336652079989
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1336652083972
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336652104862
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336652105648
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336652105953
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336652105973
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336652105983
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336652128997
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336652134407
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336652135557
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336652135953
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336652135967
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336652135981
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336652149133
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336652152471
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336652153183
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336652153450
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336652153468
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336652153475
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336652169845
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336652178515
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336652180200
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336652180490
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336652180507
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336652180542
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336652209485
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1336652211378
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1336652212193
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336652241954
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336652242829
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336652243122
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336652243141
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336652243147
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336652252684
